"ID";"FLASHSCORE_ID";"NAME";"COUNTRY";"IMAGE"
"32459";"6kR1orio";"Единство Бихач";"Босния и Герцеговина";"6kR1orio.png"
"32460";"vZnNZOLP";"ГОШК Габела";"Босния и Герцеговина";"vZnNZOLP.png"
"32461";"vaZ7webf";"Звезда";"Босния и Герцеговина";"vaZ7webf.png"
"32463";"rZFjo8UP";"Металлеге";"Босния и Герцеговина";"rZFjo8UP.png"
"32464";"WtTpYkql";"Братство Грачаница";"Босния и Герцеговина";"WtTpYkql.png"
"32465";"joXfpJjE";"Травник";"Босния и Герцеговина";"joXfpJjE.png"
"32466";"KIs4Ee7S";"Чаплина";"Босния и Герцеговина";"KIs4Ee7S.png"
"32467";"rJ9JRsHn";"Jedinstvo Brcko";"Босния и Герцеговина";"rJ9JRsHn.png"
"32468";"2ZlmTKGe";"Tekstilac";"Босния и Герцеговина";"2ZlmTKGe.png"
"32469";"dfJScUIK";"Zeljeznicar Banja Luka";"Босния и Герцеговина";"dfJScUIK.png"
"32470";"2FN1v8IP";"Модрича";"Босния и Герцеговина";"2FN1v8IP.png"
"32471";"xzhtHejD";"Орапа Юнайтед";"Ботсвана";"xzhtHejD.png"
"32472";"vuNkSFZt";"Габороне Юнайтед";"Ботсвана";"vuNkSFZt.png"
"32473";"CxlFuhsK";"Мискелланеус";"Ботсвана";"CxlFuhsK.png"
"32474";"bqMquyDM";"Нотвейн";"Ботсвана";"bqMquyDM.png"
"70945";"QgP0oAUH";"Сан-Паулу";"Бразилия";"QgP0oAUH.png"
"51226";"WMZyrhsE";"Гуарани";"Бразилия";"WMZyrhsE.png"
"32479";"WMZyrhsE";"Гуарани";"Бразилия";"WMZyrhsE.png"
"32480";"QJIC2sEm";"Спорт Ресифи U20";"Бразилия";"QJIC2sEm.png"
"32481";"UZVjEcQa";"Мажестик";"Буркина-Фасо";"UZVjEcQa.png"
"32482";"2ZTS8hZI";"Фасо-Йенненга";"Буркина-Фасо";"2ZTS8hZI.png"
"32483";"KtYFyVxC";"Роял";"Буркина-Фасо";"KtYFyVxC.png"
"32486";"8AzRTpDD";"Kecskemeti LC";"Венгрия";"8AzRTpDD.png"
"32488";"2m24xZpe";"Пушкаш Академи";"Венгрия";"2m24xZpe.png"
"32489";"tftqSYKF";"Печ";"Венгрия";"tftqSYKF.png"
"32490";"WfGfPaqT";"Vep VSE";"Венгрия";"WfGfPaqT.png"
"32491";"hpXs7iHr";"Kinizsi SK";"Венгрия";"hpXs7iHr.png"
"32492";"CGE6VuvN";"Korosladany MSK";"Венгрия";"CGE6VuvN.png"
"32493";"WtmpJlGf";"MVSC";"Венгрия";"WtmpJlGf.png"
"32494";"dpp9qntr";"Менфёшанак";"Венгрия";"dpp9qntr.png"
"32495";"8KymAhn2";"Дебрецен";"Венгрия";"8KymAhn2.png"
"32496";"EPbtZ9SJ";"Кечкед";"Венгрия";"EPbtZ9SJ.png"
"32497";"QahDPqrs";"Бичке";"Венгрия";"QahDPqrs.png"
"32498";"YakVmGwo";"Айка";"Венгрия";"YakVmGwo.png"
"32499";"QLiAdVdg";"Тисауйварош";"Венгрия";"QLiAdVdg.png"
"32500";"vsq0Rrxm";"Кечкемет";"Венгрия";"vsq0Rrxm.png"
"32501";"8v6XxipT";"Беркенье";"Венгрия";"8v6XxipT.png"
"32502";"f13tuiIu";"Веленце";"Венгрия";"f13tuiIu.png"
"32503";"2FgUuO4H";"Надьечед";"Венгрия";"2FgUuO4H.png"
"32504";"GSNLyLjI";"Путнок";"Венгрия";"GSNLyLjI.png"
"32505";"AkNPzu6O";"Сексард";"Венгрия";"AkNPzu6O.png"
"32506";"v59YsSJ3";"Хатван";"Венгрия";"v59YsSJ3.png"
"32507";"02x8YFgF";"Уйпешт";"Венгрия";"02x8YFgF.png"
"32508";"Gr9bgxGN";"Цеглед";"Венгрия";"Gr9bgxGN.png"
"32509";"Uagz1V6l";"Чорнаи";"Венгрия";"Uagz1V6l.png"
"32510";"vgyCXZ8L";"Капошвар";"Венгрия";"vgyCXZ8L.png"
"32513";"nLYr96RN";"MTK Hungaria (Ж)";"Венгрия";"nLYr96RN.png"
"32514";"zeDD7Qne";"Ференцварош (Ж)";"Венгрия";"zeDD7Qne.png"
"32515";"SUa2UMPN";"Chico de Guayana";"Венесуэла";"SUa2UMPN.png"
"32517";"S4rzyGto";"Кингс Лэнгли";"Англия";"S4rzyGto.png"
"32518";"bwuWzScC";"Фолкестоун";"Англия";"bwuWzScC.png"
"32519";"j9kiREdf";"Коалвилль";"Англия";"j9kiREdf.png"
"32520";"QkjoF2sr";"Стоурбридж";"Англия";"QkjoF2sr.png"
"32521";"fwX3wawr";"Кольне";"Англия";"fwX3wawr.png"
"32522";"dAiIHdRO";"Ossett United";"Англия";"dAiIHdRO.png"
"32523";"OtdthNtT";"Челмсфорд";"Англия";"OtdthNtT.png"
"32526";"6coTHMDL";"Ланкастер";"Англия";"6coTHMDL.png"
"32528";"pMVff57p";"Лафборо";"Англия";"pMVff57p.png"
"32529";"6kmzF1qt";"Тэмворс";"Англия";"6kmzF1qt.png"
"32531";"UF0IztbB";"Чейзтаун";"Англия";"UF0IztbB.png"
"32532";"hIJ62qKi";"Лоустофт";"Англия";"hIJ62qKi.png"
"32533";"OpxB9Oyp";"Нидхэм Маркет";"Англия";"OpxB9Oyp.png"
"32536";"ltMc6SpL";"Манифилдс";"Англия";"ltMc6SpL.png"
"32537";"WzPLMreI";"Уителиф";"Англия";"WzPLMreI.png"
"32539";"ARg6IDyt";"Марин";"Англия";"ARg6IDyt.png"
"32540";"YJaZuatd";"Данстон";"Англия";"YJaZuatd.png"
"32541";"lIhAHXjn";"Матлок";"Англия";"lIhAHXjn.png"
"32542";"OMmaPhR6";"Кидсгров";"Англия";"OMmaPhR6.png"
"32543";"MJbMOWeJ";"Молдон энд Типтри";"Англия";"MJbMOWeJ.png"
"32544";"tzxeiYDF";"Мэйдстоун";"Англия";"tzxeiYDF.png"
"32545";"Io6VnVE8";"Чешант";"Англия";"Io6VnVE8.png"
"32547";"IBiwteoG";"Норт Ли";"Англия";"IBiwteoG.png"
"32548";"2auGpnmP";"Поттерс";"Англия";"2auGpnmP.png"
"32549";"bRLalmdb";"Ранкорн Таун";"Англия";"bRLalmdb.png"
"32550";"4nSNzjG6";"Рашолл";"Англия";"4nSNzjG6.png"
"32551";"KAjTCI1l";"Саутпорт";"Англия";"KAjTCI1l.png"
"32552";"f1NnpTDs";"Скарборо";"Англия";"f1NnpTDs.png"
"32553";"hvJK1FlM";"Канви Айленд";"Англия";"hvJK1FlM.png"
"32556";"ppjDsYQg";"Стэмфорд";"Англия";"ppjDsYQg.png"
"32557";"4GTNs519";"Суиндон С";"Англия";"4GTNs519.png"
"32558";"lzEgd1C7";"Тивертон";"Англия";"lzEgd1C7.png"
"32560";"pWCk7429";"Истборн Боро";"Англия";"pWCk7429.png"
"32561";"AuuJ6a3r";"Дарлингтон";"Англия";"AuuJ6a3r.png"
"32562";"hI3BkCrS";"Чипстед";"Англия";"hI3BkCrS.png"
"32563";"E7jH2KUa";"Уэстон-сьюпер-Мэр";"Англия";"E7jH2KUa.png"
"32564";"A7J8wihT";"Флакуэлл";"Англия";"A7J8wihT.png"
"32565";"GEL99JRB";"Тонтон";"Англия";"GEL99JRB.png"
"32566";"GrpHmbJu";"Хадли";"Англия";"GrpHmbJu.png"
"32567";"tArOrn4G";"Харроу";"Англия";"tArOrn4G.png"
"32568";"0lgDkPPJ";"Хартли Уинтни";"Англия";"0lgDkPPJ.png"
"32569";"GlxNzML7";"Стратфорд";"Англия";"GlxNzML7.png"
"32570";"rmPRT1I6";"Дипинг";"Англия";"rmPRT1I6.png"
"32571";"M3W4rSlA";"Дартфорд";"Англия";"M3W4rSlA.png"
"32572";"EZr7coaT";"Барвел";"Англия";"EZr7coaT.png"
"32573";"6XDMp3Qq";"Веймут";"Англия";"6XDMp3Qq.png"
"32575";"M1UVPUPH";"Брайтон U23";"Англия";"M1UVPUPH.png"
"32576";"Q5PSDXQ5";"Эвертон U23";"Англия";"Q5PSDXQ5.png"
"32577";"MDWFGZtm";"Арсенал U23";"Англия";"MDWFGZtm.png"
"32578";"URXwO8fU";"Мидлсбро U23";"Англия";"URXwO8fU.png"
"32579";"xbMdrCun";"Норвич U23";"Англия";"xbMdrCun.png"
"32580";"f5LcVYet";"Рединг U23";"Англия";"f5LcVYet.png"
"32581";"0OHuBVAO";"Манчестер Сити U23";"Англия";"0OHuBVAO.png"
